Region;Comuna;Establecimiento;Direccion
Region de Valparaiso;Quilpue;Centro de Salud Familiar Aviador Acevedo;
Region de Valparaiso;Quilpue;Centro de Salud Familiar Pompeya;
Region de Valparaiso;Quilpue;Posta de Salud Rural Colliguay;
Region de Valparaiso;Olmue;Posta de Salud Rural Quebrada Alvarado;
Region de Valparaiso;Hijuelas;Posta de Salud Rural Romeral;
Region de Valparaiso;Hijuelas;Posta de Salud Rural Villa Prat;Calle Villa Pratt 96
Region de Valparaiso;La Ligua;Posta de Salud Rural Santa Marta;
Region de Valparaiso;La Ligua;Posta de Salud Rural Pueblo de Varas;
Region de Valparaiso;La Ligua;Posta de Salud Rural Pueblo de Roco;
Region de Valparaiso;La Ligua;Posta de Salud Rural Trapiche;
Region de Valparaiso;La Ligua;Posta de Salud Rural Las Parcelas;
Region de Valparaiso;La Ligua;Posta de Salud Rural Huaquen (La Ligua);
Region de Valparaiso;La Ligua;Posta de Salud Rural Los Molles;
Region de Valparaiso;Papudo;Posta de Salud Rural Pullally;
Region de Valparaiso;Zapallar;Posta de Salud Rural Catapilco;
Region de Valparaiso;Cabildo;Posta de Salud Rural Alicahue;
Region de Valparaiso;Cabildo;Posta de Salud Rural Artificio (Cabildo);
Region de Valparaiso;Cabildo;Posta de Salud Rural La Vina;
Region de Valparaiso;Petorca;Posta de Salud Rural Hierro Viejo;
Region de Valparaiso;La Ligua;Posta de Salud Rural Pichicuy;
Region de Valparaiso;Puchuncavi;Posta de Salud Rural Maitencillo (Puchuncavi);
Region de Valparaiso;Puchuncavi;Posta de Salud Rural Horcon;
Region de Valparaiso;Olmue;Posta de Salud Rural La Vega (Olmue);
Region de Valparaiso;Olmue;Posta de Salud Rural Las Palmas;
Region de Valparaiso;Calera;Posta de Salud Rural Pachacamita;Calle Camino Principal Pachacamita 48
Region de Valparaiso;La Ligua;Posta de Salud Rural La Canela;
Region de Valparaiso;Quillota;Posta de Salud Rural Manzanar;
Region de Valparaiso;Cabildo;Posta de Salud Rural Las Puertas;
Region de Valparaiso;Calera;Posta de Salud Rural Pachacama;
Region de Valparaiso;Quintero;Posta de Salud Rural Loncura;Calle Chimbote 1900
Region de Valparaiso;Calera;Posta de Salud Rural Manuel Rodriguez;
Region de Valparaiso;Con Con;COSAM y Psiquiatria Comunitaria Concon;Calle Santa Laura 500
Region de Valparaiso;Limache;COSAM Limache;Calle Palmira Romano Sur 49
Region de Valparaiso;Vina del Mar;"Centro Comunitario de Salud Familiar Achupallas ""Sergio Donoso""";
Region de Valparaiso;Vina del Mar;Centro Comunitario de Salud Familiar Santa Julia;
Region de Valparaiso;Quillota;"Centro Comunitario de Salud Familiar Cardenal Raul Silva Henriquez ""Cerro Macaya""";Calle Aconcagua 13
Region de Valparaiso;Nogales;Centro Comunitario de Salud Familiar Ex Asentamiento El Melon;
Region de Valparaiso;Calera;Centro Comunitario de Salud Familiar Patricia Guerra;
Region de Valparaiso;Vina del Mar;Centro Comunitario de Salud Familiar Villa Hermosa;Avenida Alemania 850
Region de Valparaiso;Vina del Mar;Centro Comunitario de Salud Familiar Las Palmas;Calle Rio Tolten 185
Region de Valparaiso;Petorca;Centro Comunitario de Salud Familiar Pedegua;
Region de Valparaiso;Quilpue;Centro Comunitario de Salud Familiar El Retiro;Avenida El Retiro 607
Region de Valparaiso;Quillota;Centro Comunitario de Salud Familiar Santa Teresita;Calle Vicuna Mackenna 525
Region de Valparaiso;Vina del Mar;SAPU Nueva Aurora;
Region de Valparaiso;Vina del Mar;SAPU Miraflores (Vina del Mar);
Region de Valparaiso;Con Con;SAPU Concon;Calle Chanarcillo 1150
Region de Valparaiso;Quilpue;SAPU El Belloto Sur;
Region de Valparaiso;Puchuncavi;SAPU Ventanas;
Region de Valparaiso;Calera;SAPU Artificio;Calle Camilo Henriquez 88
Region de Valparaiso;Villa Alemana;SAPU Eduardo Frei Montalva;
Region de Valparaiso;San Felipe;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Aconcagua);Pasaje Juana Ross 928
Region de Valparaiso;San Felipe;PRAIS (S.S Aconcagua);Pasaje Juana Ross 928
Region de Valparaiso;Los Andes;Oficina Sanitaria Los Libertadores;
Region de Valparaiso;San Felipe;Hospital de San Camilo (San Felipe);Calle Miraflores 2085
Region de Valparaiso;Los Andes;Hospital San Juan de Dios (Los Andes);Avenida Argentina 315
Region de Valparaiso;Llaillay;Hospital San Francisco (Llaillay);Calle San Francisco 76
Region de Valparaiso;Putaendo;Hospital San Antonio (Putaendo);Avenida Alessandri 186
Region de Valparaiso;Putaendo;Hospital Psiquiatrico Dr. Philippe Pinel (Putaendo);Calle Jose Antonio Salinas 2500
Region de Valparaiso;Los Andes;Clinica Rio Blanco;Avenida Santa Maria 777
Region de Valparaiso;Los Andes;ENFAS Limitada;Calle O'Higgins 640
Region de Valparaiso;San Felipe;Centro Medico y Dental Zona V de Valparaiso;Calle O'Higgins 200
Region de Valparaiso;San Felipe;Policlinico de la Asociacion Chilena de Seguridad AChS Agencia San Felipe;Calle San Martin 120
Region de Valparaiso;Los Andes;Policlinico de la Asociacion Chilena de Seguridad AChS Agencia Los Andes;Avenida Argentina 50
Region de Valparaiso;Llaillay;Centro de Salud Familiar Llaillay;Calle San Francisco 76
Region de Valparaiso;Rinconada;Centro de Salud Familiar Rinconada;
Region de Valparaiso;San Esteban;Centro de Salud Familiar San Esteban;Calle Arturo Prat 312
Region de Valparaiso;Catemu;Centro de Salud Familiar Eduardo Raggio Lanata;
Region de Valparaiso;Putaendo;Centro de Salud Familiar Valle de Los Libertadores;Avenida Alessandri 196
Region de Valparaiso;San Felipe;"Centro de Salud Familiar San Felipe ""El Real""";Calle Sargento Cajales 1900
Region de Valparaiso;Los Andes;Centro de Salud Familiar Cordillera Andina (Urbano 2);Calle Papudo Norte 151
Region de Valparaiso;Los Andes;Centro de Salud Familiar Centenario;Avenida Peru 487
Region de Valparaiso;Calle Larga;Centro de Salud Familiar Pedro Aguirre Cerda;Calle La Pampilla 164
Region de Valparaiso;Santa Maria;Centro de Salud Familiar Santa Maria;Calle Irarrazabal 246
Region de Valparaiso;San Felipe;Centro de Salud Familiar Curimon;Calle Plaza de Curimon 45
Region de Valparaiso;Panquehue;Centro de Salud Familiar Panquehue;
Region de Valparaiso;San Felipe;Centro de Salud Familiar Dr. Segismundo Iturra Taito;Avenida Santa Teresa 370
Region de Valparaiso;San Esteban;Posta de Salud Rural Lo Calvo;
Region de Valparaiso;San Esteban;Posta de Salud Rural Carino Botado;
Region de Valparaiso;San Esteban;Posta de Salud Rural Campos de Ahumada;
Region de Valparaiso;San Esteban;Posta de Salud Rural Rio Colorado;
Region de Valparaiso;Los Andes;Posta de Salud Rural Rio Blanco (Los Andes);
Region de Valparaiso;Calle Larga;Posta de Salud Rural San Vicente (Calle Larga);
Region de Valparaiso;Putaendo;Posta de Salud Rural Piguchen (Putaendo);
Region de Valparaiso;Putaendo;Posta de Salud Rural Guzmanes;
Region de Valparaiso;Santa Maria;Posta de Salud Rural Santa Filomena (Santa Maria);
Region de Valparaiso;Putaendo;Posta de Salud Rural La Orilla (Putaendo);
Region de Valparaiso;Putaendo;Posta de Salud Rural Quebrada de Herrera;
Region de Valparaiso;San Esteban;Centro Comunitario de Salud Familiar Lo Calvo;
Region de Valparaiso;Catemu;Centro Comunitario de Salud Familiar Los Cerrillos;
Region de Valparaiso;Los Andes;Centro Comunitario de Salud Familiar Juan Pablo Segundo;Calle Esteban Sainz 945
Region de Valparaiso;Santa Maria;Centro Comunitario de Salud Familiar Las Cadenas;
Region de Valparaiso;San Felipe;Centro Comunitario de Salud Familiar Quebrada Herrera;
Region de Valparaiso;San Felipe;SAPU San Felipe;Avenida Santa Teresa 370
Region de Valparaiso;Valparaiso;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Valparaiso;Avenida Brasil 1435
Region de Valparaiso;Valparaiso;PRAIS (S.S Valparaiso San Antonio);Avenida Brasil 1435
Region de Valparaiso;Valparaiso;Clinica Dental Movil Triple. Pat. PW4101 (Valparaiso);Avenida Brasil 1435
Region de Valparaiso;Valparaiso;Vacunatorio SEREMI de Salud de Valparaiso;Avenida Brasil 1435
Region de Valparaiso;Valparaiso;Hospital Carlos Van Buren (Valparaiso);
Region de Valparaiso;Valparaiso;Hospital Dr. Eduardo Pereira Ramirez (Valparaiso);
Region de Valparaiso;San Antonio;Hospital Claudio Vicuna ( San Antonio);Calle Carmen Guerrero 945
Region de Valparaiso;Valparaiso;Hospital Del Salvador (Valparaiso);Calle Subida Carvallo 200
Region de Valparaiso;Casablanca;Hospital San Jose (Casablanca);Calle Yungay 124
Region de Valparaiso;Valparaiso;Centro de Sangre y Tejidos IV y V Region;Calle Blas Cuevas 985
Region de Valparaiso;Valparaiso;Centro de Referencia de Salud Odontologica;Calle Brasil 1435
Region de Valparaiso;San Antonio;Clinica San Julian;Calle 21 de Mayo 460
Region de Valparaiso;San Antonio;Clinica San Antonio;Calle Lauro Barros 163
Region de Valparaiso;Valparaiso;Centro CONIN Valparaiso;
Region de Valparaiso;Valparaiso;Complejo Penitenciario;Calle La Polvora 665
Region de Valparaiso;Valparaiso;Clinica Valparaiso;Avenida Brasil 2350
Region de Valparaiso;San Antonio;Centro de Salud Mutual CChC San Antonio;Calle Arzobispo Casanova 249
Region de Valparaiso;Valparaiso;Centro Medico y Dental Valparaiso Capredena;Avenida Brasil 1930
Region de Valparaiso;Valparaiso;Clinica de la Agrupacion Medica Americana;Calle Condell 1190
Region de Valparaiso;Valparaiso;Centro de Salud ASOMEL;Calle Colon 2020
Region de Valparaiso;Valparaiso;Laboratorio Diagnostico e Imagenologico;Calle Condell 1190
Region de Valparaiso;Valparaiso;Centro Dental Arabe Miguel Jahiatt;Avenida Pedro Montt 2743
Region de Valparaiso;Valparaiso;Clinica Dental (Direccion Servicios Estudiantiles Universidad Catolica);Calle Yungay 2872
Region de Valparaiso;Valparaiso;Policlinico (Direccion de Servicios Estudiantiles Universidad Catolica);Calle Yungay 2872
Region de Valparaiso;Valparaiso;Instituto de Rehabilitacion Infantil TELETON (Valparaiso);Avenida Francia 259
Region de Valparaiso;Valparaiso;Instituto de Seguridad del Trabajo (IST);Calle Errazuriz 1914
Region de Valparaiso;Valparaiso;Laboratorio Docencia e Investigacion Cientifica (Universidad de Valparaiso);Calle Hontaneda 2653
Region de Valparaiso;Valparaiso;Laboratorio Fadda Ltda.;Calle Cumming 33
Region de Valparaiso;Valparaiso;Laboratorio Hematologico;Calle Blanco 1215
Region de Valparaiso;Valparaiso;Laboratorio SEDELIS;Calle Condell 1443
Region de Valparaiso;Valparaiso;Laboratorio Toxicologia Humana y Ambiental (Universidad de Playa Ancha);Calle Subida Carvallo 270
Region de Valparaiso;Casablanca;Centro Odontologico Casablanca;Calle Chacabuco 261
Region de Valparaiso;Casablanca;Centro de Salud Compania Chilena de Tabacos;
Region de Valparaiso;Casablanca;Centro de Salud ASAD;Calle Oscar Bonilla 392
Region de Valparaiso;San Antonio;Centro de Salud Asociacion Triomar;Calle Gregorio Mira 228
Region de Valparaiso;Valparaiso;Centro de Atencion CENCLIVAL;Calle Condell 1443
Region de Valparaiso;Valparaiso;Centro de Atencion Primaria de Salud Naval (Valparaiso);Calle General del Canto 464
Region de Valparaiso;Valparaiso;Centro Medico del Nino y Adolescente de Valparaiso;Calle Edwards 660
Region de Valparaiso;San Antonio;Consultorio Prefectura San Antonio;Avenida La Marina 1285
Region de Valparaiso;San Antonio;Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia San Antonio;Calle Barros Luco 1575
Region de Valparaiso;Valparaiso;Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia Valparaiso;Calle Edwards 150
Region de Valparaiso;Valparaiso;Centro Medico y Dental Megasalud Valparaiso;Avenida Argentina 1
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Placeres;
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Esperanza;Calle Galvarino 7
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Baron;Calle Blanco Viel 661
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Reina Isabel II;Avenida Washington 1926
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Placilla;
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Jean y Marie Thierry;Calle Blas Cuevas 985
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Las Canas;
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Marcelo Mena;Avenida Alemania 5360
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Plaza Justicia;Calle Plaza Justicia 99
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Cordillera;Calle Castillo 656
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Quebrada Verde;Calle Quebrada Verde 1405
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Puertas Negras;
Region de Valparaiso;San Antonio;Centro de Salud Familiar San Antonio;Calle Lucia Subercaseux 116
Region de Valparaiso;San Antonio;Centro de Salud Familiar Barrancas;Calle Barros Luco 2370
Region de Valparaiso;Cartagena;Centro de Salud Familiar Cartagena;Calle Crescente Errazuriz 665
Region de Valparaiso;Algarrobo;Centro de Salud Familiar Algarrobo;Calle El Retamo 2249
Region de Valparaiso;El Quisco;Centro de Salud Familiar El Quisco;Calle Isidoro Dubornais 250
Region de Valparaiso;San Antonio;Centro de Salud Familiar Nestor Fernandez Thomas;Calle Jose Miguel Carrera 1015
Region de Valparaiso;Valparaiso;Centro de Salud Familiar San Jose de Rodelillo;Pasaje La Merced 4350
Region de Valparaiso;San Antonio;Centro de Salud Familiar Treinta de Marzo;Calle Brockman 1700
Region de Valparaiso;Valparaiso;Centro de Salud Familiar Padre Damian Molokai;Calle Cabriteria Norte 2055
Region de Valparaiso;Valparaiso;Consultorio Policlinica Diocesana;Calle Chacabuco 1701
Region de Valparaiso;San Antonio;Centro de Salud Familiar Diputado Manuel Bustos Huerta;Avenida Reinaldo Barahona 1150
Region de Valparaiso;Santo Domingo;Centro de Salud Familiar Rocas de Santo Domingo;Calle Las Hortensias 146
Region de Valparaiso;El Tabo;Centro de Salud Familiar El Tabo;Avenida San Marcos 729
Region de Valparaiso;Juan Fernandez;Centro de Salud Familiar Juan Fernandez;Calle Vicente Gonzalez 225
Region de Valparaiso;Valparaiso;Posta de Salud Rural Laguna Verde;
Region de Valparaiso;Casablanca;Posta de Salud Rural Quintay;
Region de Valparaiso;Casablanca;Posta de Salud Rural Las Dichas;
Region de Valparaiso;Casablanca;Posta de Salud Rural Los Maitenes;
Region de Valparaiso;Casablanca;Posta de Salud Rural Lagunillas;
Region de Valparaiso;Cartagena;Posta de Salud Rural Lo Zarate;
Region de Valparaiso;Santo Domingo;Posta de Salud Rural Bucalemu (Santo Domingo);
Region de Valparaiso;Cartagena;Posta de Salud Rural Lo Abarca;
Region de Valparaiso;Cartagena;Centro Comunitario de Salud Familiar San Sebastian;Avenida Central, San Sebastian 124
Region de Valparaiso;Algarrobo;Posta de Salud Rural El Yeco;Calle Manuel Rodriguez 170
Region de Valparaiso;Algarrobo;Posta de Salud Rural San Jose (Algarrobo);
Region de Valparaiso;Santo Domingo;Posta de Salud Rural El Convento;
Region de Valparaiso;Santo Domingo;Posta de Salud Rural San Enrique;
Region de Valparaiso;El Tabo;Posta de Salud Rural Las Cruces (El Tabo);Calle Lincoln 174
Region de Valparaiso;San Antonio;Posta de Salud Rural El Asilo;
Region de Valparaiso;San Antonio;Posta de Salud Rural Cuncumen (San Antonio);
Region de Valparaiso;San Antonio;Posta de Salud Rural San Juan de San Antonio;
Region de Valparaiso;San Antonio;Posta de Salud Rural Leyda;
Region de Valparaiso;Cartagena;Posta de Salud Rural El Turco;
Region de Valparaiso;San Antonio;Posta de Salud Rural Lo Gallardo;Avenida San Juan 2698
Region de Valparaiso;Valparaiso;Centro Comunitario de Salud Familiar Porvenir Bajo;
Region de Valparaiso;El Quisco;Centro Comunitario de Salud Familiar Isla Negra;Calle Isidoro Dubournais 4100
Region de Valparaiso;San Antonio;Centro Comunitario de Salud Familiar Tejas Verdes;Calle Los Claveles 347
Region de Valparaiso;San Antonio;Centro Comunitario de Salud Familiar Manuel Bustos Huerta;
Region de Valparaiso;Valparaiso;SAPU Placeres;
Region de Valparaiso;Valparaiso;SAPU Placilla;
Region de Valparaiso;Valparaiso;SAPU Quebrada Verde;Calle Quebrada Verde 1405
Region de Valparaiso;Cartagena;SAPU Cartagena;Calle Crescente Errazuriz 665
Region de Valparaiso;Algarrobo;SAPU Algarrobo;Calle El Retamo 2249
Region de Valparaiso;San Antonio;SAPU Nestor Fernandez Thomas;Avenida Jose Miguel Carrera 1015
Region de Valparaiso;Vina del Mar;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Vina del Mar;Avenida Alvarez 1600
Region de Valparaiso;Vina del Mar;PRAIS (S.S Vina del Mar Quillota);Avenida Von Schroeders 392
Region de Valparaiso;Vina del Mar;Clinica Dental Movil Triple. Pat. PW4102 (Vina del Mar );Calle Alvarez 1600
Region de Valparaiso;Vina del Mar;Hospital Dr. Gustavo Fricke (Vina del Mar);Calle Alvarez 1532
Region de Valparaiso;Quillota;Hospital San Martin (Quillota);Calle Concepcion 1050
Region de Valparaiso;Quilpue;Hospital de Quilpue;Calle San Martin 1270
Region de Valparaiso;Calera;Hospital Dr. Mario Sanchez Vergara (La Calera);Calle Carrera 1603
Region de Valparaiso;Limache;Hospital Santo Tomas (Limache);
Region de Valparaiso;La Ligua;Hospital San Agustin (La Ligua);Calle Portales 1020
Region de Valparaiso;Cabildo;Hospital Dr. Victor Hugo Moll (Cabildo);
Region de Valparaiso;Petorca;Hospital de Petorca;Calle Manuel Montt 860
Region de Valparaiso;Quintero;Hospital Adriana Cousino (Quintero);Calle Aranguiz Tudela 380
Region de Valparaiso;Villa Alemana;Hospital Juana Ross de Edwards (Penablanca, Villa Alemana);Calle Sargento Aldea 660
Region de Valparaiso;Limache;Hospital Centro Geriatrico Paz de la Tarde (Limache);Calle Caupolican 198
Region de Valparaiso;Vina del Mar;Clinica Miraflores;Calle Los Fresnos 276
Region de Valparaiso;Vina del Mar;Clinica Renaca;Calle Anabaena, Jardin del Mar 336
Region de Valparaiso;Quilpue;Clinica Los Carrera;Calle Caupolican 958
Region de Valparaiso;Quilpue;Clinica Dr. Manzur;Calle Anibal Pinto 818
Region de Valparaiso;Vina del Mar;Sanatorio Maritimo San Juan de Dios;Avenida San Martin 1355
Region de Valparaiso;Vina del Mar;Instituto de Seguridad del Trabajo;Calle Alvarez 662
Region de Valparaiso;Vina del Mar;Hospital Ninos y Cunas;Calle Limache 1667
Region de Valparaiso;Vina del Mar;Hospital Naval Almirante Neff;
Region de Valparaiso;Calera;Clinica Los Leones;Avenida Latorre 54
Region de Valparaiso;Vina del Mar;Clinica Ciudad del Mar (ex Avansalud);Calle 13 Norte 635
Region de Valparaiso;Vina del Mar;Hospital Clinico Vina del Mar;Calle Limache 1741
Region de Valparaiso;Vina del Mar;Megasalud S.A. Centro Medico y Dental Vina del Mar;Calle 3 Norte 464
Region de Valparaiso;Vina del Mar;Centro de Salud Mutual CChC Vina del Mar;Calle Limache 1300
Region de Valparaiso;Quilpue;Megasalud S.A. Centro Medico y Dental Quilpue;Calle Anibal Pinto 843
Region de Valparaiso;Vina del Mar;Centro Medico y Dental Zona V de Valparaiso;Calle 3 Poniente 261
Region de Valparaiso;Vina del Mar;Centro de Atencion Primaria de Salud Naval (Vina del Mar);
Region de Valparaiso;Villa Alemana;Centro de Atencion Primaria de Salud Naval (Villa Alemana);Avenida Valparaiso 1795
Region de Valparaiso;Vina del Mar;MAS Salud Limitada;Calle 14 Norte 571
Region de Valparaiso;Vina del Mar;Laboratorio Clinico Vida Integra;Calle 13 Norte 635
Region de Valparaiso;Vina del Mar;Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia Vina del Mar;Calle 7 Norte 550
Region de Valparaiso;Limache;Centro de Rehabilitacion Limache Capredena;Avenida Urmeneta 855
Region de Valparaiso;La Ligua;Policlinico de la Asociacion Chilena de Seguridad AChS Agencia La Ligua;Avenida Portales 746
Region de Valparaiso;Cabildo;Policlinico de la Asociacion Chilena de Seguridad AChS Agencia Cabildo;Avenida Humeres 371
Region de Valparaiso;Valparaiso;Vacunatorio Internacional Inmunyzan;Calle Colon, Piso 2, Nº 8 2020
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Nueva Aurora;
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Profesor Eugenio Cienfuegos;
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Miraflores;
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Gomez Carreno;Calle 19 Poniente 5650
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Marco Maldonado;Calle Alvarez 1682
Region de Valparaiso;Con Con;Centro de Salud Familiar Concon;Calle Chanarcillo 1150
Region de Valparaiso;Quilpue;Centro de Salud Familiar Quilpue;Calle Covadonga 1490
Region de Valparaiso;Quilpue;Centro de Salud Familiar El Belloto;
Region de Valparaiso;Villa Alemana;Centro de Salud Familiar Villa Alemana;Avenida Quinta 32
Region de Valparaiso;Quillota;Centro de Salud Familiar Dr. Miguel Concha;Calle Maipu 902
Region de Valparaiso;Quillota;Centro de Salud Familiar Cardenal Raul Silva Henriquez;
Region de Valparaiso;La Cruz;Centro de Salud Familiar La Cruz;Avenida 21 de Mayo 5010
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Lusitania;Calle Garcia Lorca 101
Region de Valparaiso;Puchuncavi;Centro de Salud Familiar Ventanas;
Region de Valparaiso;Puchuncavi;Centro de Salud Familiar Puchuncavi;
Region de Valparaiso;Olmue;Centro de Salud Familiar Manuel Lucero;Calle Lo Rojas 2250
Region de Valparaiso;Quillota;Centro de Salud Familiar Boco;
Region de Valparaiso;Quillota;Centro de Salud Familiar San Pedro;
Region de Valparaiso;Quillota;Centro de Salud Familiar La Palma;
Region de Valparaiso;Calera;Centro de Salud Familiar Artificio;Calle Camilo Henriquez 88
Region de Valparaiso;Hijuelas;Centro de Salud Familiar Hijuelas;Calle Manuel Rodriguez 465
Region de Valparaiso;Nogales;Centro de Salud Familiar Nogales;
Region de Valparaiso;Nogales;Centro de Salud Familiar UE Rosa Sanchez G. El Melon;Calle Gustavo Filippi Murato 601
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Dr. Juan Carlos Baeza;Avenida Tamarugal 350
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Brigida Zavala;Calle Blanca Vergara 1794
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Las Torres;
Region de Valparaiso;Villa Alemana;Centro de Salud Familiar Eduardo Frei Montalva;
Region de Valparaiso;Petorca;Centro de Salud Familiar Chincolco;
Region de Valparaiso;Vina del Mar;Consultorio Modulo Odontologico Simon Bolivar;Calle Limache 1621
Region de Valparaiso;Villa Alemana;Centro de Salud Familiar Juan Bautista Bravo Vega;Calle Las Araucarias 750
Region de Valparaiso;Vina del Mar;Centro de Salud Familiar Renaca Alto Dr. Jorge Kaplan;Avenida Quinta 875
Region de Valparaiso;Isla de Pascua;Hospital Hanga Roa (Isla De Pascua);
Region de Valparaiso;La Ligua;Centro de Salud Familiar Raul Sanchez Banados;Calle Papudo 655
Region de Valparaiso;San Antonio;Policlinico Instituto de Seguridad del Trabajo de San Antonio;Calle Independencia 1060
Region de Valparaiso;Quillota;Policlinico Instituto de Seguridad del Trabajo de Quillota;Avenida Condell 563
Region de Valparaiso;Vina del Mar;Instituto Medico Infantil;Avenida Libertad of. 601, Edifico Torres Coraceros 1406
Region de Valparaiso;Los Andes;COSAM Los Andes;Calle Bernardo O’Higgins 470
Region de Valparaiso;Calera;Centro Comunitario de Salud Familiar El Trigal;Calle Aconcagua, Sector El Trigal 926
Region de Valparaiso;Valparaiso;SAR Plan de Valparaiso;Avenida Colon 1970
Region de Valparaiso;Calera;COSAM La Calera;Calle Ignacio Carrera Pinto, esq. Zenon Ortiz 423
Region de Valparaiso;Quillota;Centro Comunitario de Salud Familiar Ruta Norte;Calle Teniente Riquelme, Villa La Escuela 230
Region de Valparaiso;San Felipe;COSAM San Felipe;Calle Sargento Cajales 1900
Region de Valparaiso;Valparaiso;COSAM Domingo Asun Salazar;Calle Condell 1231
Region de Valparaiso;Nogales;Centro Comunitario de Salud Familiar El Poligono;
Region de Valparaiso;Valparaiso;Laboratorio Clinico Valparaiso Ltda.;Avenida Brasil, Local 1, Piso 1 2222
Region de Valparaiso;Putaendo;Centro Comunitario de Salud Familiar Estacion Las Coimas;
Region de Valparaiso;Vina del Mar;Integramedica Vina del Mar;Calle 13 Norte, Piso 4 - 5 853
Region de Valparaiso;Con Con;Laboratorio Clinico Laboclin;Calle Clarencia, local Nº 3 877
Region de Valparaiso;Valparaiso;Centro Odontologico Uno Saluld Dental Valparaiso;Calle Blanco, Piso 1 y 2 1297
Region de Valparaiso;Vina del Mar;Centro Odontologico Uno Saluld Dental Vina del Mar;Calle 13 Norte, Edificio Jardin Oriente 798
Region Metropolitana de Santiago;La Reina;Integramedica Sucursal Plaza Egana;Avenida Larrain 5862
Region Metropolitana de Santiago;Nunoa;Centro Medico - PDI;Calle Brown Norte 235
Region Metropolitana de Santiago;Quilicura;Centro Comunitario de Salud Familiar Beato Padre Hurtado;Calle Parroquia Nuestra Senora del Carmen 551
Region Metropolitana de Santiago;Nunoa;Vacunatorio Pharmavisan;Calle Los Jardines 263
Region Metropolitana de Santiago;Providencia;Vacunatorio RENVAC;Calle La Concepcion 141
Region Metropolitana de Santiago;Vitacura;Centro Odontologico Uno Salud Dental Vitacura;Avenida Vitacura, Local 101 5250
Region Metropolitana de Santiago;Las Condes;Centro Odontologico Uno Salud Dental Las Condes;Avenida Padre Hurtado Sur, Piso 2 Locales 24-25-26, Centro Punto Vivo Padre Hurtado 1621
Region Metropolitana de Santiago;San Miguel;Centro Odontologico Uno Salud Dental San Miguel;Avenida Llano Subercaseaux 3811
Region Metropolitana de Santiago;Santiago;Centro Odontologico Uno Salud Dental Teatinos;Calle Teatinos, Local 335 - 339 333
Region Metropolitana de Santiago;Puente Alto;Centro Odontologico Uno Salud Dental Puente Alto;Avenida Concha y Toro, Local 4 y 12 al 15 625
Region Metropolitana de Santiago;Providencia;Centro Odontologico Uno Salud Dental Providencia;Avenida Coyancura, Local 6 y 7 2229
Region Metropolitana de Santiago;Santiago;Centro Odontologico Uno Salud Dental Merced;Calle Merced, Piso 2 501
Region Metropolitana de Santiago;La Reina;Centro Odontologico Uno Salud Dental La Reina;Avenida Principe de Gales 6938
Region Metropolitana de Santiago;Providencia;Centro Odontologico Uno Salud Dental Hernando de Aguirre;Avenida Hernando de Aguirre, Local 101 215
Region Metropolitana de Santiago;Maipu;Centro Odontologico Uno Salud Dental Maipu;Avenida 5 de Abril, Local 35 33
Region Metropolitana de Santiago;Providencia;Centro Odontologico Uno Salud Dental La Concepcion;Avenida La Concepcion, Local 102 201
Region Metropolitana de Santiago;San Bernardo;Centro Odontologico Uno Salud Dental San Bernardo;Calle Eyzaguirre, Piso 6 650
Region Metropolitana de Santiago;Santiago;Centro Odontologico Uno Salud Dental Santa Lucia;Calle Santa Rosa, Local 14 12
Region Metropolitana de Santiago;Santiago;Centro Odontologico Uno Salud Dental Moneda;Calle Moneda 953
Region Metropolitana de Santiago;La Florida;Centro Odontologico Uno Salud Dental La Florida;Calle Froilan Roa 894
Region Metropolitana de Santiago;Nunoa;Centro Odontologico Uno Salud Dental Nunoa;Avenida Irarrazaval, Local 12 2401
Region Metropolitana de Santiago;Estacion Central;Centro Odontologico Uno Salud Dental Estacion Central;Calle San Francisco de Borja, Local S122-A 122
