Región;Comuna;Establecimiento;Dirección
Region Metropolitana de Santiago;Las Condes;Clínica Milano;Calle Estoril 645
Region Metropolitana de Santiago;Maipu;Laboratorio Vidaintegra;Avenida Los Pajaritos, Piso 6 1948
Region Metropolitana de Santiago;Providencia;Vacunatorio Mediclown;Calle Collypi 126
Region Metropolitana de Santiago;La Cisterna;Centro Comunitario de Salud Familiar Eduardo Frei Montalva;Calle Victoria 8396
Region Metropolitana de Santiago;San Miguel;Centro Comunitario de Salud Familiar Atacama;Calle Segunda Avenida 1462
Region Metropolitana de Santiago;Providencia;Centro Clínico Integral Las Lilas;Avenida Manuel Montt 427
Region Metropolitana de Santiago;Puente Alto;Centro de Referencia de Salud Hospital Provincia Cordillera;Calle Eyzaguirre 2061
Region Metropolitana de Santiago;Providencia;Centro Comunitario de Salud Familiar Andacollo;Calle Andacollo 1661
Region Metropolitana de Santiago;Talagante;Centro de Salud Esmeralda;Calle Esmeralda, Piso 2, Oficina 14 1062
Region Metropolitana de Santiago;Melipilla;Centro de Salud La Araucana Salud;Calle Libertad 592
Region Metropolitana de Santiago;Santiago;Centro de Salud La Araucana Salud;Calle Merced 472
Region Metropolitana de Santiago;Ñuñoa;Centro Comunitario de Salud Familiar Villa Olímpica;Avenida Salvador 1350
Region Metropolitana de Santiago;San Bernardo;Centro Clínico San Bernardo;Calle O'Higgins 237
Region Metropolitana de Santiago;Ñuñoa;Centro Médico y Dental ISP;Calle Marathon 1000
Region Metropolitana de Santiago;Vitacura;Clínica Psiquiátrica Mida;Avenida Gerónimo de Alderete 1109
Region Metropolitana de Santiago;Santiago;Centro Médico y Dental Servicio de Bienestar MOP;Calle Morandé 59
Region Metropolitana de Santiago;Lo Barnechea;Clínica MEDS La Dehesa;Avenida José Alcalde Délano 10581
Region Metropolitana de Santiago;Puente Alto;COSAM CEIF Puente Alto Norte;Avenida Concha y Toro 2531
Region Metropolitana de Santiago;Providencia;Clínica Vida Estética;Avenida Eliodoro Yáñez 1759
Region Metropolitana de Santiago;Santiago;Servicio Medicina Preventiva del Ejercito;Avenida Libertador Bernardo O'Higgins,Torre 3 Piso 9 1449
Region Metropolitana de Santiago;La Florida;Centro Comunitario de Salud Familiar Las Lomas;Avenida Jardin Alto 9057
Region Metropolitana de Santiago;Las Condes;Centro Médico Medicien;Avenida Américo Vespucio, of. 102, Piso 1 100
Region Metropolitana de Santiago;Providencia;Clínica Paris SpA;Avenida Los Leones 465
Region Metropolitana de Santiago;El Monte;Centro Comunitario de Salud Familiar Lo Chacón;Pasaje Los Plátanos, Villa Los Álamos 3 124
Region Metropolitana de Santiago;Peñalolén;Clínica Las Condes Peñalolén;Avenida Los Presidentes 8950
Region Metropolitana de Santiago;San Miguel;Laboratorio Medicina Nuclear Bicentenario;Avenida José Miguel Carrera of. 102 - 103 y 104 3840
Region Metropolitana de Santiago;Maipu;Centro Médico Clínica Hospital Profesor;Calle Tristán Valdés 66
Region Metropolitana de Santiago;Talagante;SAR Oriente María Eugenia Torres;Pasaje Quemchi, Villa Mónaco 1075
Region Metropolitana de Santiago;La Florida;Clínica Bupa Santiago;Avenida Departamental 1455
Region Metropolitana de Santiago;Las Condes;Clínica Psiquiatrica Creser;Calle Martin de Zamora 4602
Region Metropolitana de Santiago;Santiago;Laboratorio Clínico Metropolitano;Avenida Libertador Bernardo O'Higgins, Depto. 63 776
Region Metropolitana de Santiago;San Bernardo;Laboratorio Clínico Megasalud;Avenida América, Piso 1 654
Region Metropolitana de Santiago;Santiago;Laboratorio Clínico Omega;Calle Matucana, Piso 2 727
Region Metropolitana de Santiago;Macul;Consultorio Escuela de Suboficiales de Carabineros de Chile;Calle Rodrigo de Araya 2601
Region Metropolitana de Santiago;Ñuñoa;Centro Médico Irarrázaval Pontificia Universidad Católica de Chile;Avenida Irarrázaval 4949
Region Metropolitana de Santiago;Providencia;Centro Médico y Dental Antonio Varas del Banco del Estado de Chile;Avenida Providencia 1722
Region Metropolitana de Santiago;Peñalolén;Centro de Referencia de Salud Cordillera Oriente;Avenida Las Torres 5100
Region Metropolitana de Santiago;Providencia;Centro de Salud Familiar Dr. Hernán Alessandri;Calle Los Jesuitas 857
Region Metropolitana de Santiago;Providencia;Centro de Salud Familiar Dr. Alfonso Leng;Avenida Manuel Montt 303
Region Metropolitana de Santiago;Providencia;Centro de Salud Familiar Aguilucho;Calle El Aguilucho 3292
Region Metropolitana de Santiago;Las Condes;Centro de Salud Familiar Apoquindo;Calle Cerro Altar 6611
Region Metropolitana de Santiago;Las Condes;Centro de Salud Familiar Aníbal Ariztía;Calle Paúl Harris 1140
Region Metropolitana de Santiago;Lo Barnechea;Centro de Salud Familiar Lo Barnechea;Avenida El Rodeo 13533
Region Metropolitana de Santiago;Vitacura;Centro de Salud Familiar Vitacura;Calle Indiana 1195
Region Metropolitana de Santiago;Ñuñoa;Centro de Salud Familiar Rosita Renard;Calle Las Encinas 2801
Region Metropolitana de Santiago;Ñuñoa;Centro de Salud Familiar Salvador Bustos;Avenida Grecia 4369
Region Metropolitana de Santiago;Macul;Centro de Salud Familiar Félix de Amesti;Calle El Líbano 5557
Region Metropolitana de Santiago;Macul;Centro de Salud Familiar Santa Julia;Calle Santa Julia 2309
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar La Faena;Avenida Oriental 7250
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar San Luis;Calle La Pradera 5370
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar Carol Urzúa Ibáñez;Avenida Consistorial 1960
Region Metropolitana de Santiago;La Reina;Centro de Salud Familiar Ossandon;Calle Echenique 8419
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar Lo Hermida;Calle Coronel Alejandro Sepúlveda 6931
Region Metropolitana de Santiago;Macul;Centro de Salud Familiar Padre Alberto Hurtado;Calle Arturo Prat 4345
Region Metropolitana de Santiago;La Reina;Centro de Salud Familiar Juan Pablo II;Calle Parinacota 440
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar Cardenal Silva Henríquez;Calle Río Claro 1020
Region Metropolitana de Santiago;Peñalolén;Centro de Salud Familiar Padre Gerardo Whelan;Avenida Litoral 5960
Region Metropolitana de Santiago;Macul;Centro Odontológico Macul;Calle Arturo Prat 4345
Region Metropolitana de Santiago;Lo Barnechea;Posta de Farellones;
Region Metropolitana de Santiago;Providencia;Centro Integramédica Barcelona;Calle Barcelona 2116
Region Metropolitana de Santiago;Providencia;Clínica Las Acacias;Avenida Salvador 537
Region Metropolitana de Santiago;Providencia;Clínica Mella;Calle Providencia 2608
Region Metropolitana de Santiago;Providencia;Centro Servicios Médicos Santa María;Avenida Santa María 410
Region Metropolitana de Santiago;Vitacura;Clínica Fundación Médica San Cristóbal;Calle Luis Pasteur 5292
Region Metropolitana de Santiago;Vitacura;Centro Oftalmológico Luis Pasteur;Calle Luis Pasteur 5917
Region Metropolitana de Santiago;Peñalolén;Clínica Universidad de Chile Quilín;Calle Mar Tirreno 3349
Region Metropolitana de Santiago;Las Condes;Clínica Arauco Salud;
Region Metropolitana de Santiago;Macul;Centro Médico San Joaquín (CEDIUC);Avenida Vicuña 4686
Region Metropolitana de Santiago;Providencia;Clínica Astra Providencia;Calle Rancagua 701
Region Metropolitana de Santiago;Peñalolén;Centro Asistencial AChS Egaña;Calle Américo Vespucio 1476
Region Metropolitana de Santiago;La Reina;Centro Asistencial AChS La Reina;Avenida Jorge 50
Region Metropolitana de Santiago;Las Condes;Centro Asistencial AChS Las Condes;Avenida Kennedy 5413
Region Metropolitana de Santiago;Macul;Centro Médico Macul;Calle Macul 2555
Region Metropolitana de Santiago;Vitacura;Centro de Salud Mutual CChC las Tranqueras;Avenida Las Tranqueras 1327
Region Metropolitana de Santiago;Ñuñoa;Centro Médico y Dental Megasalud Ñuñoa;Avenida Irarrázaval 2303
Region Metropolitana de Santiago;Las Condes;Centro Médico y Dental Megasalud Kennedy;Avenida Kennedy 5735
Region Metropolitana de Santiago;Lo Barnechea;Centro Médico Clínica Santa María La Dehesa;Avenida La Dehesa 1445
Region Metropolitana de Santiago;Providencia;Clínica Los Coihues;Avenida Eliodoro Yáñez 1215
Region Metropolitana de Santiago;Providencia;Centro Vida Integra;Avenida 11 de Septiembre 2350
Region Metropolitana de Santiago;Las Condes;Centro Integra Médica Manquehue;Avenida Manquehue 329
Region Metropolitana de Santiago;Lo Barnechea;Centro Médico Clínica Alemana (La Dehesa);Avenida El Rodeo 1908
Region Metropolitana de Santiago;Providencia;Clínica Las Lilas;Avenida Eliodoro Yáñez 2087
Region Metropolitana de Santiago;Las Condes;Darvax Salud;Avenida Cristóbal Colón 3018
Region Metropolitana de Santiago;La Reina;Hospital Militar de Santiago;Avenida Larraín 9100
Region Metropolitana de Santiago;La Reina;COSAM La Reina;Calle Quillahua 480
Region Metropolitana de Santiago;Macul;COSAM Macul;Calle Gregorio de la Fuente 3556
Region Metropolitana de Santiago;Ñuñoa;COSAM Ñuñoa;Calle Pichirangui 3650
Region Metropolitana de Santiago;Las Condes;COSAM Las Condes;Calle Enrique Foster Sur 153
Region Metropolitana de Santiago;Peñalolén;COSAM Peñalolén;Avenida Oriental 7250
Region Metropolitana de Santiago;Providencia;COSAM Provisam;Calle Manuel Montt 2051
Region Metropolitana de Santiago;Lo Barnechea;COSAM Lo Barnechea;Calle Padre Alfredo Arteaga 1873
Region Metropolitana de Santiago;Vitacura;COSAM Vitacura;Calle Indiana 1195
Region Metropolitana de Santiago;Lo Barnechea;Centro Comunitario de Salud Familiar Lo Barnechea;Calle Circunvalación Norte 5040
Region Metropolitana de Santiago;Peñalolén;Centro Comunitario de Salud Familiar General Carol Urzúa Ibáñez;Calle Nueva Vida 2087
Region Metropolitana de Santiago;La Reina;Centro Comunitario de Salud Familiar Dragones de La Reina;Calle Dragones de La Reina 616
Region Metropolitana de Santiago;Lo Barnechea;Centro Comunitario de Salud Familiar Bicentenario;Calle Getsemani 229
Region Metropolitana de Santiago;Las Condes;SAPU Aníbal Ariztía;Calle La Escuela 1229
Region Metropolitana de Santiago;Lo Barnechea;SAPU Lo Barnechea;Avenida El Rodeo 13533
Region Metropolitana de Santiago;Ñuñoa;SAPU Rosita Renard;Calle Las Encinas 2801
Region Metropolitana de Santiago;Macul;SAPU Santa Julia;Calle Santa Julia 2309
Region Metropolitana de Santiago;Peñalolén;SAPU La Faena;Avenida Los Orientales 7250
Region Metropolitana de Santiago;Peñalolén;SAPU San Luis;Calle Los Cerezos 5556
Region Metropolitana de Santiago;Peñalolén;SAPU Carol Urzúa Ibáñez;Avenida Consistorial 1960
Region Metropolitana de Santiago;Peñalolén;SAPU Lo Hermida;Calle Litoral 5960
Region Metropolitana de Santiago;Ñuñoa;SAPU Centro de Urgencia Ñuñoa;Calle Juan Moya 1320
Region Metropolitana de Santiago;Providencia;Clínica Avansalud Providencia;Avenida Salvador 100
Region Metropolitana de Santiago;Providencia;Dirección Previsional de Carabineros de Chile;Calle Santa Beatriz 171
Region Metropolitana de Santiago;Providencia;Laboratorio Clínico Blanco;Avenida Salvador 31
Region Metropolitana de Santiago;Providencia;Química Clínica Especializada;Avenida Salvador 149
Region Metropolitana de Santiago;Providencia;Laboratorio Bionet;Avenida Vicuña Mackenna, Piso 3 4
Region Metropolitana de Santiago;Providencia;Bioánalisis Ltda.;Avenida Bustamante 32
Region Metropolitana de Santiago;Providencia;Dilab;Avenida Vicuña Mackenna, Piso 1 6
Region Metropolitana de Santiago;Providencia;Elsa;Avenida Italia 1056
Region Metropolitana de Santiago;Vitacura;San Cristóbal;Calle Luis Pasteur 5292
Region Metropolitana de Santiago;Ñuñoa;Red-Lab;Calle Malaquías Concha 155
Region Metropolitana de Santiago;Las Condes;Instituto Oftalmológico Puerta del Sol;Calle Puerta del Sol 36
Region Metropolitana de Santiago;Las Condes;Centro de Diagnóstico Integramédica Alto Las Condes;
Region Metropolitana de Santiago;Las Condes;Clínica Paris SpA;Calle Hernando de Magallanes 142
Region Metropolitana de Santiago;Las Condes;Centro Vida Integra de Las Condes;Avenida Apoquindo 3281
Region Metropolitana de Santiago;Ñuñoa;Centro Mater Esperanza Nueva Limitada;Calle Campo de Deporte 727
Region Metropolitana de Santiago;Providencia;Megasalud;Calle Salvador 100
Region Metropolitana de Santiago;La Reina;VidaIntegra;Avenida Ossa 345
Region Metropolitana de Santiago;Las Condes;VidaIntegra (El Bosque Norte);Calle Roger 2800
Region Metropolitana de Santiago;Las Condes;Integramédica Las Condes;Calle Nevería 4715
Region Metropolitana de Santiago;Maipu;Integramédica Maipú;Avenida Pajaritos 1790
Region Metropolitana de Santiago;Providencia;Clínica New Clinic;Calle Los Leones 1588
Region Metropolitana de Santiago;Ñuñoa;Centro Vida Integra de Ñuñoa;Avenida Pedro de Valdivia 3505
Region Metropolitana de Santiago;Providencia;Barnafi Krause Diagnóstica;Avenida Andrés Bello 1195
Region Metropolitana de Santiago;Providencia;Centro de Salud Mutual CChC Providencia;Calle Hernán Alessandri 620
Region Metropolitana de Santiago;Providencia;Centro de Salud Dial Médica;Calle Ricardo Lyon 396
Region Metropolitana de Santiago;Ñuñoa;Clínica Corporación de Ayuda al Paciente Mental;Avenida Condell 1890
Region Metropolitana de Santiago;San Miguel;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur);Avenida Santa Rosa 3453
Region Metropolitana de Santiago;San Miguel;PRAIS (S.S Metropolitano Sur);Avenida Santa Rosa 3453
Region Metropolitana de Santiago;San Miguel;Hospital Barros Luco Trudeau (Santiago, San Miguel);Calle Gran Avenida José Miguel Carrera 3204
Region Metropolitana de Santiago;San Miguel;Hospital Dr. Exequiel González Cortés (Santiago, San Miguel);Calle Salvador 364
Region Metropolitana de Santiago;Buin;Hospital San Luis (Buin);Calle Arturo Prat 240
Region Metropolitana de Santiago;San Miguel;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel);Calle Gran Avenida José Miguel Carrera 3204
Region Metropolitana de Santiago;Puente Alto;Hospital Psiquiátrico El Peral (Santiago, Puente Alto);Calle Camilo Henríquez 2451
Region Metropolitana de Santiago;San Bernardo;Hospital El Pino (Santiago, San Bernardo);Avenida Padre Hurtado 13560
Region Metropolitana de Santiago;San Bernardo;Centro de Referencia de Salud El Pino;Avenida Los Morros 13560
Region Metropolitana de Santiago;San Bernardo;Hospital Parroquial (San Bernardo) (D);Calle Libertador Bernardo O'Higgins 4
Region Metropolitana de Santiago;San Miguel;Clínica San Miguel;Calle Álvarez de Toledo 943
Region Metropolitana de Santiago;San Miguel;Clínica Psiquiátrica Nelly Vergara;Calle Curiñanca 752
Region Metropolitana de Santiago;San Miguel;Centro Integramédica San Miguel;Calle El Llano Subercaseaux 3965
Region Metropolitana de Santiago;San Miguel;Centro Vida Integra de San Miguel;Calle José Miguel Carrera 6251
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Mutual CChC San Bernardo;Calle Freire 339
Region Metropolitana de Santiago;San Bernardo;Clínica Santa Lucía;Calle Victoria 717
Region Metropolitana de Santiago;San Bernardo;Centro Vida Integra de San Bernardo;Calle Urmeneta 513
Region Metropolitana de Santiago;Lo Espejo;Centro de Salud Mutual CChC Lo Espejo;Avenida Lo Sierra 3200
Region Metropolitana de Santiago;San Joaquín;Clínica Santa Rosa;Calle Copacabana 493
Region Metropolitana de Santiago;San Bernardo;Clínica de Cirugía Plástica;Avenida Colón 321
Region Metropolitana de Santiago;La Cisterna;Clínica Santa Amalia;Calle General Freire 46
Region Metropolitana de Santiago;Buin;Centro Asistencial AChS Buin;Calle Condell 755
Region Metropolitana de Santiago;San Bernardo;Centro Asistencial AChS San Bernardo;Calle Eysaguirre 61
Region Metropolitana de Santiago;San Miguel;Centro Asistencial AChS San Miguel;Avenida Alcalde 970
Region Metropolitana de Santiago;Paine;Centro de Salud Mutual CChC Paine;
Region Metropolitana de Santiago;San Miguel;Clínica Astra San Miguel;Calle Gran Avenida 5681
Region Metropolitana de Santiago;San Bernardo;Clínica Astra San Bernardo;Calle O'Higgins 401
Region Metropolitana de Santiago;San Miguel;Centro Médico y Dental Megasalud Gran Avenida;Avenida José Miguel Carrera 5728
Region Metropolitana de Santiago;San Bernardo;Centro Médico y Dental Megasalud San Bernardo;Avenida América 654
Region Metropolitana de Santiago;Paine;Centro Asistencial AChS Paine;Avenida Presidente Prieto 128
Region Metropolitana de Santiago;El Bosque;Consultorio Tantauco;Calle General Tavarías 83
Region Metropolitana de Santiago;La Cisterna;Consultorio Prefectura Sur;Calle Gran Avenida 6868
Region Metropolitana de Santiago;San Miguel;Multimédica Ltda.;Calle Llano Subercaseaux 4005
Region Metropolitana de Santiago;San Miguel;San Nicolás;Avenida José Miguel Carrera 5018
Region Metropolitana de Santiago;San Bernardo;Macromédica;Calle O'Higgins 453
Region Metropolitana de Santiago;La Cisterna;Nefrolab;Calle Celia Zegers 141
Region Metropolitana de Santiago;San Bernardo;Radiológico y Laboratorio Santa Lucía;Calle Victoria 411
Region Metropolitana de Santiago;San Miguel;Centro de Salud Familiar Barros Luco;Calle Ángel Guarello 1319
Region Metropolitana de Santiago;San Joaquín;Centro de Salud Familiar San Joaquín;Calle Francisca de Rimini 3223
Region Metropolitana de Santiago;San Miguel;Centro de Salud Familiar Recreo;Calle Varas Mena 785
Region Metropolitana de Santiago;Pedro Aguirre Cerda;Centro de Salud Familiar Amador Neghme;Calle Alhué 2085
Region Metropolitana de Santiago;Pedro Aguirre Cerda;Centro de Salud Familiar Villa Sur;Calle Clotario Blest 6035
Region Metropolitana de Santiago;San Joaquín;Centro de Salud Familiar Arturo Baeza Goñi;Calle Álvarez de Toledo 399
Region Metropolitana de Santiago;Pedro Aguirre Cerda;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Calle Los Comandos 4772
Region Metropolitana de Santiago;La Granja;Centro de Salud Familiar Padre Esteban Gumucio;Avenida Central 281
Region Metropolitana de Santiago;Lo Espejo;Centro de Salud Familiar Clara Estrella;Calle Putre 6868
Region Metropolitana de Santiago;Lo Espejo;Centro de Salud Familiar Julio Acuña Pinzón;Avenida Central Raúl Silva Henríquez 8260
Region Metropolitana de Santiago;Lo Espejo;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Calle José María Caro 3849
Region Metropolitana de Santiago;La Cisterna;Centro de Salud Familiar Santa Anselma;Calle Fernando de Aragón 8365
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Calle Claudina Parra 11028
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo);Calle San Alfonso 1202
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Cóndores de Chile;Calle Agusto D`Almar 555
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Confraternidad;Calle Martín de Solís 14210
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Carol Urzúa de San Bernardo;Calle Loncomilla 958
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Santa Laura;Calle Indio Gerónimo 10460
Region Metropolitana de Santiago;Paine;Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Avenida General Baquedano 214
Region Metropolitana de Santiago;Paine;Centro de Salud Familiar Dr. Raúl Moya;
Region Metropolitana de Santiago;Buin;Centro de Salud Familiar Maipo;
Region Metropolitana de Santiago;Calera de Tango;Centro de Salud Familiar Calera de Tango;
Region Metropolitana de Santiago;San Joaquín;Centro de Salud Familiar Santa Teresa de Los Andes;Calle Gustavo Campaña 5380
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Dr. Mario Salcedo;Pasaje Mar Báltico 13256
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Dra. Haydeé López Casoou;Calle Lo Martínez 862
Region Metropolitana de Santiago;La Cisterna;Centro de Salud Familiar Eduardo Frei Montalva;Avenida Ossa 140
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Joan Alsina;Calle Márquez de la Plata 5
Region Metropolitana de Santiago;El Bosque;Centro de Salud Familiar Canciller Orlando Letelier;Calle Lo Moreno 890
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Raúl Brañes F.;Avenida Carlos Condell 1036
Region Metropolitana de Santiago;Pedro Aguirre Cerda;Centro de Salud Familiar Edgardo Enríquez Froeden;Avenida Clotario Blest 2650
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar Juan Pablo II;Calle Santa Marta 276
Region Metropolitana de Santiago;Buin;Centro de Salud Familiar Alto Jahuel;
Region Metropolitana de Santiago;Calera de Tango;Centro de Salud Familiar Los Bajos de San Agustín;
Region Metropolitana de Santiago;El Bosque;COSAM El Bosque;Calle Padre Hurtado 11480
Region Metropolitana de Santiago;Pedro Aguirre Cerda;COSAM Pedro Aguirre Cerda;Avenida La Marina 2256
Region Metropolitana de Santiago;San Bernardo;COSAM San Bernardo;Calle Martín de Solís 14260
Region Metropolitana de Santiago;San Joaquín;COSAM San Joaquín;Calle Álvarez de Toledo 569
Region Metropolitana de Santiago;Buin;Centro de Salud Familiar Héctor García;Calle Errázuriz 703
Region Metropolitana de Santiago;San Bernardo;Centro de Salud Familiar El Manzano;Calle Camino Santa Teresa 1876
Region Metropolitana de Santiago;San Miguel;Centro de Imagenología Mamaria Metropolitano;Calle José Miguel Carrera 3204
Region Metropolitana de Santiago;Lo Espejo;Centro de Salud Familiar Pueblo Lo Espejo;Avenida Lo Espejo 2891
Region Metropolitana de Santiago;Buin;Posta de Salud Rural Linderos;
Region Metropolitana de Santiago;Buin;Posta de Salud Rural Alto Jahuel;
Region Metropolitana de Santiago;Buin;Posta de Salud Rural Valdivia de Paine;
Region Metropolitana de Santiago;Buin;Posta de Salud Rural Viluco;
Region Metropolitana de Santiago;Buin;Posta de Salud Rural El Recurso;
Region Metropolitana de Santiago;Buin;Posta de Salud Rural Los Morros;
Region Metropolitana de Santiago;Paine;Posta de Salud Rural Pintué;
Region Metropolitana de Santiago;Paine;Posta de Salud Rural Huelquén;
Region Metropolitana de Santiago;Paine;Posta de Salud Rural Rangue;
Region Metropolitana de Santiago;Paine;Posta de Salud Rural Abrantes;
Region Metropolitana de Santiago;Paine;Posta de Salud Rural Chada;
Region Metropolitana de Santiago;Calera de Tango;Posta de Salud Rural Santa Inés;
Region Metropolitana de Santiago;Lo Espejo;COSAM Lo Espejo;Pasaje 24 2379
Region Metropolitana de Santiago;San Joaquín;Centro Comunitario de Salud Familiar Yalta;Calle Yalta 2500
Region Metropolitana de Santiago;San Joaquín;Centro Comunitario de Salud Familia Sierra Bella;Calle Sierra Bella 3208
Region Metropolitana de Santiago;Pedro Aguirre Cerda;Centro Comunitario de Salud Familiar Cooperación;Calle Cooperación 6041
Region Metropolitana de Santiago;San Bernardo;Centro Comunitario de Salud Familiar Cerrillos de Nos;
Region Metropolitana de Santiago;San Bernardo;Centro Comunitario de Salud Familiar Rapa Nui;Calle Miguel de Unamuno 2738
Region Metropolitana de Santiago;El Bosque;Centro Comunitario de Salud Familiar Santa Laura;Calle Picton 1050
Region Metropolitana de Santiago;San Joaquín;Centro Comunitario de Salud Familiar Juan Aravena;Calle Juan Aravena 472
Region Metropolitana de Santiago;San Bernardo;Centro Comunitario de Salud Familiar Lo Herrera;Calle Volcán Guallatiri 8282
Region Metropolitana de Santiago;San Joaquín;Centro Comunitario de Salud Familiar Reverendo Javier Peró;
Region Metropolitana de Santiago;Buin;Centro Comunitario de Salud Familiar Dr. Héctor García;Avenida Nuevo Buin Poniente Exclemencia Sazo 1591
Region Metropolitana de Santiago;San Miguel;SAPU Recreo;Calle Varas Mena 785
Region Metropolitana de Santiago;Pedro Aguirre Cerda;SAR Dr. Amador Neghme R.;Calle Llanquihue, Población Dávila 6043
Region Metropolitana de Santiago;Pedro Aguirre Cerda;SAPU La Feria;Calle Uno Oriente 3939
Region Metropolitana de Santiago;La Granja;SAPU Padre Esteban Gumucio;Avenida Padre Esteban Gumucio 281
Region Metropolitana de Santiago;Lo Espejo;SAPU Clara Estrella;
Region Metropolitana de Santiago;Lo Espejo;SAPU Julio Acuña Pinzón;Avenida Central 8260
Region Metropolitana de Santiago;Lo Espejo;SAPU Dental Valledor Tres;Calle José María Caro 3849
Region Metropolitana de Santiago;El Bosque;SAPU Dr. Carlos Lorca;Pasaje El Pajar 10675
Region Metropolitana de Santiago;San Bernardo;SAPU Raúl Cuevas (Ex San Bernardo);Calle San Alfonso 1201
Region Metropolitana de Santiago;El Bosque;SAPU Cóndores de Chile;Avenida Gran Avenida 9902
Region Metropolitana de Santiago;San Bernardo;SAPU Confraternidad;Calle Martín de Solís 14210
Region Metropolitana de Santiago;Paine;SAPU Paine;Calle José Joaquín Prieto 118
Region Metropolitana de Santiago;Lo Espejo;SAPU Dra. Mariela Salgado;Avenida Cardenal Caro 3849
Region Metropolitana de Santiago;San Joaquín;SAPU Santa Teresa de Los Andes;Calle Gustavo Campaña 5380
Region Metropolitana de Santiago;El Bosque;SAR Haydee Lopez;Calle Lo Martínez 862
Region Metropolitana de Santiago;La Cisterna;SAPU Eduardo Frei Montalva;Avenida Ossa 140
Region Metropolitana de Santiago;San Bernardo;SAPU Padre Joan Alsina;Calle Márquez de la Plata 5
Region Metropolitana de Santiago;San Bernardo;SAPU Carol Urzúa de San Bernardo;Calle Mendoza 855
Region Metropolitana de Santiago;San Bernardo;SAPU Raúl Brañes F.;Calle Carlos Condell 1036
Region Metropolitana de Santiago;Pedro Aguirre Cerda;SAPU Edgardo Enríquez Froedden;Calle Clotario Blest 2650
Region Metropolitana de Santiago;San Bernardo;SAPU Juan Pablo II;Calle Santa Marta 277
Region Metropolitana de Santiago;Vitacura;Clínica Alemana;Avenida Vitacura 5951
Region Metropolitana de Santiago;Vitacura;Clínica Tabancura;Avenida Tabancura 1185
Region Metropolitana de Santiago;Providencia;Clínica Costanera;Calle Antonio Bellet 189
Region Metropolitana de Santiago;Las Condes;Nueva Clínica Cordillera;Avenida Alexander Fleming 7885
Region Metropolitana de Santiago;Providencia;Clínica Psiquiatrica Bretaña;Avenida Francisco Bilbao 2638
Region Metropolitana de Santiago;Macul;Clínica del Carmen;Avenida Quilín 3679
Region Metropolitana de Santiago;Providencia;Clínica Indisa;Avenida Santa María 1810
Region Metropolitana de Santiago;Las Condes;Clínica Las Condes;Calle Lo Fontecilla 441
Region Metropolitana de Santiago;Macul;Clínica Macul;Calle Rodrigo de Araya 3240
Region Metropolitana de Santiago;Ñuñoa;Clínica Recuperación Alcohol Alfa;Avenida Simón Bolívar 2581
Region Metropolitana de Santiago;Providencia;Clínica Miguel Claro;Calle Miguel Claro 988
Region Metropolitana de Santiago;Providencia;Clínica Servet;Calle Almirante Pastene 190
Region Metropolitana de Santiago;Vitacura;Clínica Oftalmólogica los Andes;Calle Las Hualtatas 5951
Region Metropolitana de Santiago;Providencia;Centro Médico y Dental Megasalud Providencia;Calle 11 de Septiembre 1920
Region Metropolitana de Santiago;Ñuñoa;Clínica Ñuñoa;Calle Capitán Orella 2467
Region Metropolitana de Santiago;Vitacura;Clínica Psiquiatrica Pocuro;Avenida Presidente Kennedy 9000
Region Metropolitana de Santiago;Providencia;Clínica San Andrés;Calle Los Jesuitas 695
Region Metropolitana de Santiago;Las Condes;Pensionado San José;Avenida Cristóbal Colón 5850
Region Metropolitana de Santiago;Providencia;Clínica Sara Moncada;Avenida Pedro de Valdivia 2219
Region Metropolitana de Santiago;Las Condes;Hospital FACH;Avenida Las Condes 8631
Region Metropolitana de Santiago;Ñuñoa;Hospital Carabineros;Calle Simón Bolívar 2200
Region Metropolitana de Santiago;Ñuñoa;Clínica Oriente;Calle Cauquenes 92
