PK_NOMBRE_CENTRO;FK_COMUNA
Vacunatorio Estudio Pediatrico Integral;Vina del Mar
SAPU Barrancas;San Antonio
SAPU Diputado Manuel Bustos Huerta;San Antonio
SAPU Marcelo Mena;Valparaiso
SAPU Reina Isabel II;Valparaiso
SAPU Gomez Carreno;Vina del Mar
SAPU Las Torres;Vina del Mar
SAPU Pompeya;Quilpue
SAPU Renaca Alto;Vina del Mar
SAPU San Pedro;Quillota
SAPU Quillota;Quillota
SAPU Centenario;Los Andes
Centro Traumatologico Vina del Mar;Vina del Mar
Clinica Dental Movil Pat. EZE-032 (Valparaiso);Valparaiso
Unidad Oftalmologica Movil;Valparaiso
Clinica Dental Movil Pat. EZE-031 (Valparaiso);Valparaiso
Laboratorio Clinico Servicios Medicos Valparaiso E.I.R.L;Valparaiso
Asociacion Chilena de Seguridad AChS La Calera;Calera
Vacunatorio Caledonian;Vina del Mar
Centro Medico CENTROMED;Vina del Mar
Laboratorio Clinico INSI S. A.;Quilpue
Laboratorio Clinico Aclin Ltda.;Vina del Mar
Laboratorio Clinico Llo-Lleo Ltda.;San Antonio
Laboratorio Clinico IDU Solaris;Vina del Mar
Laboratorio Clinico Erna Moraga Romero;Valparaiso
Laboratorio Clinico San Jose Ltda.;Cabildo
Laboratorio Clinico Diagnocal;Calera
Laboratorio Clinico Pasteur Ltda.;Calera
Laboratorio Clinico Labocal;Calera
Laboratorio Clinico Dr. Jose Garcia Rosado;Quillota
Laboratorio Clinico Oriana Fernandez;Quillota
Laboratorio Clinico Diagnostico Clinilab;Villa Alemana
Laboratorio Clinico Cheul Etcheverry;Vina del Mar
Laboratorio Clinico Diagnostika Alemana;Vina del Mar
Laboratorio Clinico Cemeval;Vina del Mar
Centro de Salud Familiar Alcalde Ivan Manriquez;Quilpue
Centro de Salud Familiar Papudo;Papudo
Centro de Salud Familiar Dr. Johow Zapallar;Zapallar
Centro de Salud Familiar Aviador Acevedo;Quilpue
Centro de Salud Familiar Pompeya;Quilpue
Posta de Salud Rural Colliguay;Quilpue
Posta de Salud Rural Quebrada Alvarado;Olmue
Posta de Salud Rural Romeral;Hijuelas
Posta de Salud Rural Villa Prat;Hijuelas
Posta de Salud Rural Santa Marta;La Ligua
Posta de Salud Rural Pueblo de Varas;La Ligua
Posta de Salud Rural Pueblo de Roco;La Ligua
Posta de Salud Rural Trapiche;La Ligua
Posta de Salud Rural Las Parcelas;La Ligua
Posta de Salud Rural Huaquen (La Ligua);La Ligua
Posta de Salud Rural Los Molles;La Ligua
Posta de Salud Rural Pullally;Papudo
Posta de Salud Rural Catapilco;Zapallar
Posta de Salud Rural Alicahue;Cabildo
Posta de Salud Rural Artificio (Cabildo);Cabildo
Posta de Salud Rural La Vina;Cabildo
Posta de Salud Rural Hierro Viejo;Petorca
Posta de Salud Rural Pichicuy;La Ligua
Posta de Salud Rural Maitencillo (Puchuncavi);Puchuncavi
Posta de Salud Rural Horcon;Puchuncavi
Posta de Salud Rural La Vega (Olmue);Olmue
Posta de Salud Rural Las Palmas;Olmue
Posta de Salud Rural Pachacamita;Calera
Posta de Salud Rural La Canela;La Ligua
Posta de Salud Rural Manzanar;Quillota
Posta de Salud Rural Las Puertas;Cabildo
Posta de Salud Rural Pachacama;Calera
Posta de Salud Rural Loncura;Quintero
Posta de Salud Rural Manuel Rodriguez;Calera
COSAM y Psiquiatria Comunitaria Concon;Con Con
COSAM Limache;Limache
"Centro Comunitario de Salud Familiar Achupallas ""Sergio Donoso""";Vina del Mar
Centro Comunitario de Salud Familiar Santa Julia;Vina del Mar
"Centro Comunitario de Salud Familiar Cardenal Raul Silva Henriquez ""Cerro Macaya""";Quillota
Centro Comunitario de Salud Familiar Ex Asentamiento El Melon;Nogales
Centro Comunitario de Salud Familiar Patricia Guerra;Calera
Centro Comunitario de Salud Familiar Villa Hermosa;Vina del Mar
Centro Comunitario de Salud Familiar Las Palmas;Vina del Mar
Centro Comunitario de Salud Familiar Pedegua;Petorca
Centro Comunitario de Salud Familiar El Retiro;Quilpue
Centro Comunitario de Salud Familiar Santa Teresita;Quillota
SAPU Nueva Aurora;Vina del Mar
SAPU Miraflores (Vina del Mar);Vina del Mar
SAPU Concon;Con Con
SAPU El Belloto Sur;Quilpue
SAPU Ventanas;Puchuncavi
SAPU Artificio;Calera
SAPU Eduardo Frei Montalva;Villa Alemana
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Aconcagua);San Felipe
PRAIS (S.S Aconcagua);San Felipe
Oficina Sanitaria Los Libertadores;Los Andes
Hospital de San Camilo (San Felipe);San Felipe
Hospital San Juan de Dios (Los Andes);Los Andes
Hospital San Francisco (Llaillay);Llaillay
Hospital San Antonio (Putaendo);Putaendo
Hospital Psiquiatrico Dr. Philippe Pinel (Putaendo);Putaendo
Clinica Rio Blanco;Los Andes
ENFAS Limitada;Los Andes
Centro Medico y Dental Zona V de Valparaiso;San Felipe
Policlinico de la Asociacion Chilena de Seguridad AChS Agencia San Felipe;San Felipe
Policlinico de la Asociacion Chilena de Seguridad AChS Agencia Los Andes;Los Andes
Centro de Salud Familiar Llaillay;Llaillay
Centro de Salud Familiar Rinconada;Rinconada
Centro de Salud Familiar San Esteban;San Esteban
Centro de Salud Familiar Eduardo Raggio Lanata;Catemu
Centro de Salud Familiar Valle de Los Libertadores;Putaendo
"Centro de Salud Familiar San Felipe ""El Real""";San Felipe
Centro de Salud Familiar Cordillera Andina (Urbano 2);Los Andes
Centro de Salud Familiar Centenario;Los Andes
Centro de Salud Familiar Pedro Aguirre Cerda;Calle Larga
Centro de Salud Familiar Santa Maria;Santa Maria
Centro de Salud Familiar Curimon;San Felipe
Centro de Salud Familiar Panquehue;Panquehue
Centro de Salud Familiar Dr. Segismundo Iturra Taito;San Felipe
Posta de Salud Rural Lo Calvo;San Esteban
Posta de Salud Rural Carino Botado;San Esteban
Posta de Salud Rural Campos de Ahumada;San Esteban
Posta de Salud Rural Rio Colorado;San Esteban
Posta de Salud Rural Rio Blanco (Los Andes);Los Andes
Posta de Salud Rural San Vicente (Calle Larga);Calle Larga
Posta de Salud Rural Piguchen (Putaendo);Putaendo
Posta de Salud Rural Guzmanes;Putaendo
Posta de Salud Rural Santa Filomena (Santa Maria);Santa Maria
Posta de Salud Rural La Orilla (Putaendo);Putaendo
Posta de Salud Rural Quebrada de Herrera;Putaendo
Centro Comunitario de Salud Familiar Lo Calvo;San Esteban
Centro Comunitario de Salud Familiar Los Cerrillos;Catemu
Centro Comunitario de Salud Familiar Juan Pablo Segundo;Los Andes
Centro Comunitario de Salud Familiar Las Cadenas;Santa Maria
Centro Comunitario de Salud Familiar Quebrada Herrera;San Felipe
SAPU San Felipe;San Felipe
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Valparaiso;Valparaiso
PRAIS (S.S Valparaiso San Antonio);Valparaiso
Clinica Dental Movil Triple. Pat. PW4101 (Valparaiso);Valparaiso
Vacunatorio SEREMI de Salud de Valparaiso;Valparaiso
Hospital Carlos Van Buren (Valparaiso);Valparaiso
Hospital Dr. Eduardo Pereira Ramirez (Valparaiso);Valparaiso
Hospital Claudio Vicuna ( San Antonio);San Antonio
Hospital Del Salvador (Valparaiso);Valparaiso
Hospital San Jose (Casablanca);Casablanca
Centro de Sangre y Tejidos IV y V Region;Valparaiso
Centro de Referencia de Salud Odontologica;Valparaiso
Clinica San Julian;San Antonio
Clinica San Antonio;San Antonio
Centro CONIN Valparaiso;Valparaiso
Complejo Penitenciario;Valparaiso
Clinica Valparaiso;Valparaiso
Centro de Salud Mutual CChC San Antonio;San Antonio
Centro Medico y Dental Valparaiso Capredena;Valparaiso
Clinica de la Agrupacion Medica Americana;Valparaiso
Centro de Salud ASOMEL;Valparaiso
Laboratorio Diagnostico e Imagenologico;Valparaiso
Centro Dental Arabe Miguel Jahiatt;Valparaiso
Clinica Dental (Direccion Servicios Estudiantiles Universidad Catolica);Valparaiso
Policlinico (Direccion de Servicios Estudiantiles Universidad Catolica);Valparaiso
Instituto de Rehabilitacion Infantil TELETON (Valparaiso);Valparaiso
Instituto de Seguridad del Trabajo (IST);Valparaiso
Laboratorio Docencia e Investigacion Cientifica (Universidad de Valparaiso);Valparaiso
Laboratorio Fadda Ltda.;Valparaiso
Laboratorio Hematologico;Valparaiso
Laboratorio SEDELIS;Valparaiso
Laboratorio Toxicologia Humana y Ambiental (Universidad de Playa Ancha);Valparaiso
Centro Odontologico Casablanca;Casablanca
Centro de Salud Compania Chilena de Tabacos;Casablanca
Centro de Salud ASAD;Casablanca
Centro de Salud Asociacion Triomar;San Antonio
Centro de Atencion CENCLIVAL;Valparaiso
Centro de Atencion Primaria de Salud Naval (Valparaiso);Valparaiso
Centro Medico del Nino y Adolescente de Valparaiso;Valparaiso
Consultorio Prefectura San Antonio;San Antonio
Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia San Antonio;San Antonio
Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia Valparaiso;Valparaiso
Centro Medico y Dental Megasalud Valparaiso;Valparaiso
Centro de Salud Familiar Placeres;Valparaiso
Centro de Salud Familiar Esperanza;Valparaiso
Centro de Salud Familiar Baron;Valparaiso
Centro de Salud Familiar Reina Isabel II;Valparaiso
Centro de Salud Familiar Placilla;Valparaiso
Centro de Salud Familiar Jean y Marie Thierry;Valparaiso
Centro de Salud Familiar Las Canas;Valparaiso
Centro de Salud Familiar Marcelo Mena;Valparaiso
Centro de Salud Familiar Plaza Justicia;Valparaiso
Centro de Salud Familiar Cordillera;Valparaiso
Centro de Salud Familiar Quebrada Verde;Valparaiso
Centro de Salud Familiar Puertas Negras;Valparaiso
Centro de Salud Familiar San Antonio;San Antonio
Centro de Salud Familiar Barrancas;San Antonio
Centro de Salud Familiar Cartagena;Cartagena
Centro de Salud Familiar Algarrobo;Algarrobo
Centro de Salud Familiar El Quisco;El Quisco
Centro de Salud Familiar Nestor Fernandez Thomas;San Antonio
Centro de Salud Familiar San Jose de Rodelillo;Valparaiso
Centro de Salud Familiar Treinta de Marzo;San Antonio
Centro de Salud Familiar Padre Damian Molokai;Valparaiso
Consultorio Policlinica Diocesana;Valparaiso
Centro de Salud Familiar Diputado Manuel Bustos Huerta;San Antonio
Centro de Salud Familiar Rocas de Santo Domingo;Santo Domingo
Centro de Salud Familiar El Tabo;El Tabo
Centro de Salud Familiar Juan Fernandez;Juan Fernandez
Posta de Salud Rural Laguna Verde;Valparaiso
Posta de Salud Rural Quintay;Casablanca
Posta de Salud Rural Las Dichas;Casablanca
Posta de Salud Rural Los Maitenes;Casablanca
Posta de Salud Rural Lagunillas;Casablanca
Posta de Salud Rural Lo Zarate;Cartagena
Posta de Salud Rural Bucalemu (Santo Domingo);Santo Domingo
Posta de Salud Rural Lo Abarca;Cartagena
Centro Comunitario de Salud Familiar San Sebastian;Cartagena
Posta de Salud Rural El Yeco;Algarrobo
Posta de Salud Rural San Jose (Algarrobo);Algarrobo
Posta de Salud Rural El Convento;Santo Domingo
Posta de Salud Rural San Enrique;Santo Domingo
Posta de Salud Rural Las Cruces (El Tabo);El Tabo
Posta de Salud Rural El Asilo;San Antonio
Posta de Salud Rural Cuncumen (San Antonio);San Antonio
Posta de Salud Rural San Juan de San Antonio;San Antonio
Posta de Salud Rural Leyda;San Antonio
Posta de Salud Rural El Turco;Cartagena
Posta de Salud Rural Lo Gallardo;San Antonio
Centro Comunitario de Salud Familiar Porvenir Bajo;Valparaiso
Centro Comunitario de Salud Familiar Isla Negra;El Quisco
Centro Comunitario de Salud Familiar Tejas Verdes;San Antonio
Centro Comunitario de Salud Familiar Manuel Bustos Huerta;San Antonio
SAPU Placeres;Valparaiso
SAPU Placilla;Valparaiso
SAPU Quebrada Verde;Valparaiso
SAPU Cartagena;Cartagena
SAPU Algarrobo;Algarrobo
SAPU Nestor Fernandez Thomas;San Antonio
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Vina del Mar;Vina del Mar
PRAIS (S.S Vina del Mar Quillota);Vina del Mar
Clinica Dental Movil Triple. Pat. PW4102 (Vina del Mar );Vina del Mar
Hospital Dr. Gustavo Fricke (Vina del Mar);Vina del Mar
Hospital San Martin (Quillota);Quillota
Hospital de Quilpue;Quilpue
Hospital Dr. Mario Sanchez Vergara (La Calera);Calera
Hospital Santo Tomas (Limache);Limache
Hospital San Agustin (La Ligua);La Ligua
Hospital Dr. Victor Hugo Moll (Cabildo);Cabildo
Hospital de Petorca;Petorca
Hospital Adriana Cousino (Quintero);Quintero
Hospital Juana Ross de Edwards (Penablanca, Villa Alemana);Villa Alemana
Hospital Centro Geriatrico Paz de la Tarde (Limache);Limache
Clinica Miraflores;Vina del Mar
Clinica Renaca;Vina del Mar
Clinica Los Carrera;Quilpue
Clinica Dr. Manzur;Quilpue
Sanatorio Maritimo San Juan de Dios;Vina del Mar
Instituto de Seguridad del Trabajo;Vina del Mar
Hospital Ninos y Cunas;Vina del Mar
Hospital Naval Almirante Neff;Vina del Mar
Clinica Los Leones;Calera
Clinica Ciudad del Mar (ex Avansalud);Vina del Mar
Hospital Clinico Vina del Mar;Vina del Mar
Megasalud S.A. Centro Medico y Dental Vina del Mar;Vina del Mar
Centro de Salud Mutual CChC Vina del Mar;Vina del Mar
Megasalud S.A. Centro Medico y Dental Quilpue;Quilpue
Centro Medico y Dental Zona V de Valparaiso;Vina del Mar
Centro de Atencion Primaria de Salud Naval (Vina del Mar);Vina del Mar
Centro de Atencion Primaria de Salud Naval (Villa Alemana);Villa Alemana
MAS Salud Limitada;Vina del Mar
Laboratorio Clinico Vida Integra;Vina del Mar
Policlinico de la Asociacion Chilena de Seguridad AChS. Agencia Vina del Mar;Vina del Mar
Centro de Rehabilitacion Limache Capredena;Limache
Policlinico de la Asociacion Chilena de Seguridad AChS Agencia La Ligua;La Ligua
Policlinico de la Asociacion Chilena de Seguridad AChS Agencia Cabildo;Cabildo
Vacunatorio Internacional Inmunyzan;Valparaiso
Centro de Salud Familiar Nueva Aurora;Vina del Mar
Centro de Salud Familiar Profesor Eugenio Cienfuegos;Vina del Mar
Centro de Salud Familiar Miraflores;Vina del Mar
Centro de Salud Familiar Gomez Carreno;Vina del Mar
Centro de Salud Familiar Marco Maldonado;Vina del Mar
Centro de Salud Familiar Concon;Con Con
Centro de Salud Familiar Quilpue;Quilpue
Centro de Salud Familiar El Belloto;Quilpue
Centro de Salud Familiar Villa Alemana;Villa Alemana
Centro de Salud Familiar Dr. Miguel Concha;Quillota
Centro de Salud Familiar Cardenal Raul Silva Henriquez;Quillota
Centro de Salud Familiar La Cruz;La Cruz
Centro de Salud Familiar Lusitania;Vina del Mar
Centro de Salud Familiar Ventanas;Puchuncavi
Centro de Salud Familiar Puchuncavi;Puchuncavi
Centro de Salud Familiar Manuel Lucero;Olmue
Centro de Salud Familiar Boco;Quillota
Centro de Salud Familiar San Pedro;Quillota
Centro de Salud Familiar La Palma;Quillota
Centro de Salud Familiar Artificio;Calera
Centro de Salud Familiar Hijuelas;Hijuelas
Centro de Salud Familiar Nogales;Nogales
Centro de Salud Familiar UE Rosa Sanchez G. El Melon;Nogales
Centro de Salud Familiar Dr. Juan Carlos Baeza;Vina del Mar
Centro de Salud Familiar Brigida Zavala;Vina del Mar
Centro de Salud Familiar Las Torres;Vina del Mar
Centro de Salud Familiar Eduardo Frei Montalva;Villa Alemana
Centro de Salud Familiar Chincolco;Petorca
Consultorio Modulo Odontologico Simon Bolivar;Vina del Mar
Centro de Salud Familiar Juan Bautista Bravo Vega;Villa Alemana
Centro de Salud Familiar Renaca Alto Dr. Jorge Kaplan;Vina del Mar
Hospital Hanga Roa (Isla De Pascua);Isla de Pascua
Centro de Salud Familiar Raul Sanchez Banados;La Ligua
Policlinico Instituto de Seguridad del Trabajo de San Antonio;San Antonio
Policlinico Instituto de Seguridad del Trabajo de Quillota;Quillota
Instituto Medico Infantil;Vina del Mar
COSAM Los Andes;Los Andes
Centro Comunitario de Salud Familiar El Trigal;Calera
SAR Plan de Valparaiso;Valparaiso
COSAM La Calera;Calera
Centro Comunitario de Salud Familiar Ruta Norte;Quillota
COSAM San Felipe;San Felipe
COSAM Domingo Asun Salazar;Valparaiso
Centro Comunitario de Salud Familiar El Poligono;Nogales
Laboratorio Clinico Valparaiso Ltda.;Valparaiso
Centro Comunitario de Salud Familiar Estacion Las Coimas;Putaendo
Integramedica Vina del Mar;Vina del Mar
Laboratorio Clinico Laboclin;Con Con
Centro Odontologico Uno Saluld Dental Valparaiso;Valparaiso
Centro Odontologico Uno Saluld Dental Vina del Mar;Vina del Mar
Integramedica Sucursal Plaza Egana;La Reina
Centro Medico - PDI;Nunoa
Centro Comunitario de Salud Familiar Beato Padre Hurtado;Quilicura
Vacunatorio Pharmavisan;Nunoa
Vacunatorio RENVAC;Providencia
Centro Odontologico Uno Salud Dental Vitacura;Vitacura
Centro Odontologico Uno Salud Dental Las Condes;Las Condes
Centro Odontologico Uno Salud Dental San Miguel;San Miguel
Centro Odontologico Uno Salud Dental Teatinos;Santiago
Centro Odontologico Uno Salud Dental Puente Alto;Puente Alto
Centro Odontologico Uno Salud Dental Providencia;Providencia
Centro Odontologico Uno Salud Dental Merced;Santiago
Centro Odontologico Uno Salud Dental La Reina;La Reina
Centro Odontologico Uno Salud Dental Hernando de Aguirre;Providencia
Centro Odontologico Uno Salud Dental Maipu;Maipu
Centro Odontologico Uno Salud Dental La Concepcion;Providencia
Centro Odontologico Uno Salud Dental San Bernardo;San Bernardo
Centro Odontologico Uno Salud Dental Santa Lucia;Santiago
Centro Odontologico Uno Salud Dental Moneda;Santiago
Centro Odontologico Uno Salud Dental La Florida;La Florida
Centro Odontologico Uno Salud Dental Nunoa;Nunoa
Centro Odontologico Uno Salud Dental Estacion Central;Estacion Central
Centro Odontologico Uno Salud Dental La Cisterna;La Cisterna
Centro Comunitario de Salud Familiar Buzeta;Cerrillos
Centro Comunitario de Salud Familiar Alberto Bachelet;Conchali
Centro Comunitario de Salud Familia Martin Henriquez;San Joaquin
Centro Comunitario de Salud Familiar Salud Plaza Mexico;Quinta Normal
Clinica de Cirugia y Estetica Edelweiss;Providencia
Centro Medico y Dental Matucana;Santiago
Centro Comunitario de Salud Familiar Villa Los Presidentes;Talagante
Clinica Milano;Las Condes
Laboratorio Vidaintegra;Maipu
Vacunatorio Mediclown;Providencia
Centro Comunitario de Salud Familiar Eduardo Frei Montalva;La Cisterna
Centro Comunitario de Salud Familiar Atacama;San Miguel
Centro Clinico Integral Las Lilas;Providencia
Centro de Referencia de Salud Hospital Provincia Cordillera;Puente Alto
Centro Comunitario de Salud Familiar Andacollo;Providencia
Centro de Salud Esmeralda;Talagante
Centro de Salud La Araucana Salud;Melipilla
Centro de Salud La Araucana Salud;Santiago
Centro Comunitario de Salud Familiar Villa Olimpica;Nunoa
Centro Clinico San Bernardo;San Bernardo
Centro Medico y Dental ISP;Nunoa
Clinica Psiquiatrica Mida;Vitacura
Centro Medico y Dental Servicio de Bienestar MOP;Santiago
Clinica MEDS La Dehesa;Lo Barnechea
COSAM CEIF Puente Alto Norte;Puente Alto
Clinica Vida Estetica;Providencia
Servicio Medicina Preventiva del Ejercito;Santiago
Centro Comunitario de Salud Familiar Las Lomas;La Florida
Centro Medico Medicien;Las Condes
Clinica Paris SpA;Providencia
Centro Comunitario de Salud Familiar Lo Chacon;El Monte
Clinica Las Condes Penalolen;Penalolen
Laboratorio Medicina Nuclear Bicentenario;San Miguel
Centro Medico Clinica Hospital Profesor;Maipu
SAR Oriente Maria Eugenia Torres;Talagante
Clinica Bupa Santiago;La Florida
Clinica Psiquiatrica Creser;Las Condes
Laboratorio Clinico Metropolitano;Santiago
Laboratorio Clinico Megasalud;San Bernardo
Laboratorio Clinico Omega;Santiago
Consultorio Escuela de Suboficiales de Carabineros de Chile;Macul
Centro Medico Irarrazaval Pontificia Universidad Catolica de Chile;Nunoa
Centro Medico y Dental Antonio Varas del Banco del Estado de Chile;Providencia
Centro de Referencia de Salud Cordillera Oriente;Penalolen
Centro de Salud Familiar Dr. Hernan Alessandri;Providencia
Centro de Salud Familiar Dr. Alfonso Leng;Providencia
Centro de Salud Familiar Aguilucho;Providencia
Centro de Salud Familiar Apoquindo;Las Condes
Centro de Salud Familiar Anibal Ariztia;Las Condes
Centro de Salud Familiar Lo Barnechea;Lo Barnechea
Centro de Salud Familiar Vitacura;Vitacura
Centro de Salud Familiar Rosita Renard;Nunoa
Centro de Salud Familiar Salvador Bustos;Nunoa
Centro de Salud Familiar Felix de Amesti;Macul
Centro de Salud Familiar Santa Julia;Macul
Centro de Salud Familiar La Faena;Penalolen
Centro de Salud Familiar San Luis;Penalolen
Centro de Salud Familiar Carol Urzua Ibanez;Penalolen
Centro de Salud Familiar Ossandon;La Reina
Centro de Salud Familiar Lo Hermida;Penalolen
Centro de Salud Familiar Padre Alberto Hurtado;Macul
Centro de Salud Familiar Juan Pablo II;La Reina
Centro de Salud Familiar Cardenal Silva Henriquez;Penalolen
Centro de Salud Familiar Padre Gerardo Whelan;Penalolen
Centro Odontologico Macul;Macul
Posta de Farellones;Lo Barnechea
Centro Integramedica Barcelona;Providencia
Clinica Las Acacias;Providencia
Clinica Mella;Providencia
Centro Servicios Medicos Santa Maria;Providencia
Clinica Fundacion Medica San Cristobal;Vitacura
Centro Oftalmologico Luis Pasteur;Vitacura
Clinica Universidad de Chile Quilin;Penalolen
Clinica Arauco Salud;Las Condes
Centro Medico San Joaquin (CEDIUC);Macul
Clinica Astra Providencia;Providencia
Centro Asistencial AChS Egana;Penalolen
Centro Asistencial AChS La Reina;La Reina
Centro Asistencial AChS Las Condes;Las Condes
Centro Medico Macul;Macul
Centro de Salud Mutual CChC las Tranqueras;Vitacura
Centro Medico y Dental Megasalud Nunoa;Nunoa
Centro Medico y Dental Megasalud Kennedy;Las Condes
Centro Medico Clinica Santa Maria La Dehesa;Lo Barnechea
Clinica Los Coihues;Providencia
Centro Vida Integra;Providencia
Centro Integra Medica Manquehue;Las Condes
Centro Medico Clinica Alemana (La Dehesa);Lo Barnechea
Clinica Las Lilas;Providencia
Darvax Salud;Las Condes
Hospital Militar de Santiago;La Reina
COSAM La Reina;La Reina
COSAM Macul;Macul
COSAM Nunoa;Nunoa
COSAM Las Condes;Las Condes
COSAM Penalolen;Penalolen
COSAM Provisam;Providencia
COSAM Lo Barnechea;Lo Barnechea
COSAM Vitacura;Vitacura
Centro Comunitario de Salud Familiar Lo Barnechea;Lo Barnechea
Centro Comunitario de Salud Familiar General Carol Urzua Ibanez;Penalolen
Centro Comunitario de Salud Familiar Dragones de La Reina;La Reina
Centro Comunitario de Salud Familiar Bicentenario;Lo Barnechea
SAPU Anibal Ariztia;Las Condes
SAPU Lo Barnechea;Lo Barnechea
SAPU Rosita Renard;Nunoa
SAPU Santa Julia;Macul
SAPU La Faena;Penalolen
SAPU San Luis;Penalolen
SAPU Carol Urzua Ibanez;Penalolen
SAPU Lo Hermida;Penalolen
SAPU Centro de Urgencia Nunoa;Nunoa
Clinica Avansalud Providencia;Providencia
Direccion Previsional de Carabineros de Chile;Providencia
Laboratorio Clinico Blanco;Providencia
Quimica Clinica Especializada;Providencia
Laboratorio Bionet;Providencia
Bioanalisis Ltda.;Providencia
Dilab;Providencia
Elsa;Providencia
San Cristobal;Vitacura
Red-Lab;Nunoa
Instituto Oftalmologico Puerta del Sol;Las Condes
Centro de Diagnostico Integramedica Alto Las Condes;Las Condes
Clinica Paris SpA;Las Condes
Centro Vida Integra de Las Condes;Las Condes
Centro Mater Esperanza Nueva Limitada;Nunoa
Megasalud;Providencia
VidaIntegra;La Reina
VidaIntegra (El Bosque Norte);Las Condes
Integramedica Las Condes;Las Condes
Integramedica Maipu;Maipu
Clinica New Clinic;Providencia
Centro Vida Integra de Nunoa;Nunoa
Barnafi Krause Diagnostica;Providencia
Centro de Salud Mutual CChC Providencia;Providencia
Centro de Salud Dial Medica;Providencia
Clinica Corporacion de Ayuda al Paciente Mental;Nunoa
Actividades gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Sur);San Miguel
PRAIS (S.S Metropolitano Sur);San Miguel
Hospital Barros Luco Trudeau (Santiago, San Miguel);San Miguel
Hospital Dr. Exequiel Gonzalez Cortes (Santiago, San Miguel);San Miguel
Hospital San Luis (Buin);Buin
Hospital de Enfermedades Infecciosas Dr. Lucio Cordova (Santiago, San Miguel);San Miguel
Hospital Psiquiatrico El Peral (Santiago, Puente Alto);Puente Alto
Hospital El Pino (Santiago, San Bernardo);San Bernardo
Centro de Referencia de Salud El Pino;San Bernardo
Hospital Parroquial (San Bernardo) (D);San Bernardo
Clinica San Miguel;San Miguel
Clinica Psiquiatrica Nelly Vergara;San Miguel
Centro Integramedica San Miguel;San Miguel
Centro Vida Integra de San Miguel;San Miguel
Centro de Salud Mutual CChC San Bernardo;San Bernardo
Clinica Santa Lucia;San Bernardo
Centro Vida Integra de San Bernardo;San Bernardo
Centro de Salud Mutual CChC Lo Espejo;Lo Espejo
Clinica Santa Rosa;San Joaquin
Clinica de Cirugia Plastica;San Bernardo
Clinica Santa Amalia;La Cisterna
Centro Asistencial AChS Buin;Buin
Centro Asistencial AChS San Bernardo;San Bernardo
Centro Asistencial AChS San Miguel;San Miguel
Centro de Salud Mutual CChC Paine;Paine
Clinica Astra San Miguel;San Miguel
Clinica Astra San Bernardo;San Bernardo
Centro Medico y Dental Megasalud Gran Avenida;San Miguel
Centro Medico y Dental Megasalud San Bernardo;San Bernardo
Centro Asistencial AChS Paine;Paine
Consultorio Tantauco;El Bosque
Consultorio Prefectura Sur;La Cisterna
Multimedica Ltda.;San Miguel
San Nicolas;San Miguel
Macromedica;San Bernardo
Nefrolab;La Cisterna
Radiologico y Laboratorio Santa Lucia;San Bernardo
Centro de Salud Familiar Barros Luco;San Miguel
Centro de Salud Familiar San Joaquin;San Joaquin
Centro de Salud Familiar Recreo;San Miguel
Centro de Salud Familiar Amador Neghme;Pedro Aguirre Cerda
Centro de Salud Familiar Villa Sur;Pedro Aguirre Cerda
Centro de Salud Familiar Arturo Baeza Goni;San Joaquin
Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Pedro Aguirre Cerda
Centro de Salud Familiar Padre Esteban Gumucio;La Granja
Centro de Salud Familiar Clara Estrella;Lo Espejo
Centro de Salud Familiar Julio Acuna Pinzon;Lo Espejo
Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Lo Espejo
Centro de Salud Familiar Santa Anselma;La Cisterna
Centro de Salud Familiar Dr. Carlos Lorca Tobar;El Bosque
Centro de Salud Familiar Raul Cuevas (Ex-San Bernardo);San Bernardo
Centro de Salud Familiar Condores de Chile;El Bosque
Centro de Salud Familiar Confraternidad;San Bernardo
Centro de Salud Familiar Carol Urzua de San Bernardo;San Bernardo
Centro de Salud Familiar Santa Laura;El Bosque
Centro de Salud Familiar Dr. Miguel Angel Solar (ex CESFAM Paine);Paine
Centro de Salud Familiar Dr. Raul Moya;Paine
Centro de Salud Familiar Maipo;Buin
Centro de Salud Familiar Calera de Tango;Calera de Tango
Centro de Salud Familiar Santa Teresa de Los Andes;San Joaquin
Centro de Salud Familiar Dr. Mario Salcedo;El Bosque
Centro de Salud Familiar Dra. Haydee Lopez Casoou;El Bosque
Centro de Salud Familiar Eduardo Frei Montalva;La Cisterna
Centro de Salud Familiar Joan Alsina;San Bernardo
Centro de Salud Familiar Canciller Orlando Letelier;El Bosque
Centro de Salud Familiar Raul Branes F.;San Bernardo
Centro de Salud Familiar Edgardo Enriquez Froeden;Pedro Aguirre Cerda
Centro de Salud Familiar Juan Pablo II;San Bernardo
Centro de Salud Familiar Alto Jahuel;Buin
Centro de Salud Familiar Los Bajos de San Agustin;Calera de Tango
COSAM El Bosque;El Bosque
